번호,카테고리,테스트목적,원문,번역,문제유형,심각도,비고
1,헤징/가능성,가능성/불확실성 표현이 단정적으로 바뀌는지 확인,이 방법이 효율적이라고 생각한다. 하지만 데이터가 부족하면 성능이 떨어질 수도 있다.,"This method is fundamentally efficient, yet performance inevitably degrades when available data remains insufficient.","헤징/주관성 손실 (생각한다 삭제, 수도 있다→inevitably)",상,두 가지 손실 동시 발생 (주관성+가능성)
2,헤징/가능성,가능성/불확실성 표현이 단정적으로 바뀌는지 확인,"아직 확실하지는 않지만, 이 접근법이 더 나을 것 같다.","Although it is not yet completely certain, this approach appears to be superior.",없음,,정상 - 헤징 잘 보존됨
3,헤징/가능성,가능성/불확실성 표현이 단정적으로 바뀌는지 확인,이 결과는 우연일 수도 있다.,This result may simply be a coincidence.,없음,,정상 - 헤징 보존됨
4,헤징/가능성,가능성/불확실성 표현이 단정적으로 바뀌는지 확인,좀 더 검증이 필요해 보인다.,More verification is required.,"헤징 손실 (~해 보인다 삭제, 단정적 지시문으로 변경)",중,'보인다'(추측)가 사라지고 명령/단정으로 바뀜
5,주관성/개인의견,'생각한다'/개인 의견 표현의 주관성이 유지되는지 확인,나는 이 프레임워크가 제일 편하다고 생각한다.,I find this framework to be the most comfortable option.,없음,,정상 - 주관성 보존됨
6,주관성/개인의견,'생각한다'/개인 의견 표현의 주관성이 유지되는지 확인,내 생각엔 이 설계가 더 낫다.,I believe this design is clearly superior because it maximizes overall efficiency and structural stability.,"Unsupported Addition + 주관성 손실 (내 생각엔→clearly, 없는 근거 추가)",상,가장 심각한 사례 중 하나 - 조심스러운 의견이 단정+지어낸 근거로 변질
7,주관성/개인의견,'생각한다'/개인 의견 표현의 주관성이 유지되는지 확인,개인적으로는 이 결과에 만족한다.,"Personally, I am satisfied with this result.",없음,,정상
8,부정문,부정의 의미가 반대로 뒤집히지 않는지 확인,이 모델은 아직 완성되지 않았다.,This model is not yet complete.,없음,,정상
9,부정문,부정의 의미가 반대로 뒤집히지 않는지 확인,결과가 기대에 미치지 못했다.,The outcome fell short of expectations.,없음,,정상
10,부정문,부정의 의미가 반대로 뒤집히지 않는지 확인,이 실험은 재현되지 않았다.,This experiment has not been replicated.,없음,,정상
11,부정문,부정의 의미가 반대로 뒤집히지 않는지 확인,성능 차이는 크지 않았다.,The performance difference was negligible.,경미한 과장 ('크지 않다'→negligible),하,'유의미하지만 크진 않음'이 '무시해도 됨' 수준으로 강화됨
12,단정/직설,단정적 문장이 오히려 애매해지지 않는지 확인,이 방법은 반드시 실패한다.,This method inevitably fails.,없음,,정상
13,명령문,원문에 없는 설명/근거가 추가되는지 확인 (Unsupported Addition),데이터 전처리는 필수다.,Data preprocessing is absolutely essential because raw data inherently contains noise and inconsistencies that degrade model performance.,Unsupported Addition (원문에 없는 근거 문장 생성),상,검증되지 않은 기술적 주장까지 추가됨
14,명령문,원문에 없는 설명/근거가 추가되는지 확인 (Unsupported Addition),데이터를 정규화하라.,Normalize the data because this ensures the data distribution has a mean of zero and a variance of one.,Unsupported Addition (특정 정규화 방식(z-score)을 사실인 것처럼 단정 추가),상,가장 심각 - 기술적으로 부정확할 수 있는 주장 생성
15,명령문,원문에 없는 설명/근거가 추가되는지 확인 (Unsupported Addition),코드를 리팩토링하라.,Refactor the code.,없음,,정상 - 같은 카테고리 내 다른 문장은 Addition 없음
16,명령문,원문에 없는 설명/근거가 추가되는지 확인 (Unsupported Addition),이 값을 초기화해야 한다.,We must initialize this value.,없음,,정상
17,명령문,원문에 없는 설명/근거가 추가되는지 확인 (Unsupported Addition),결과를 저장하라.,Save the results.,없음,,정상
18,논리연결(복문),논리적 연결 관계가 깨지지 않는지 확인,"정확도는 높아졌지만, 그러나 학습 시간이 늘어났고, 따라서 실제 서비스에는 적합하지 않을 수 있다.","Accuracy increases, but training time grows correspondingly, meaning this approach may prove unsuitable for actual services.",시제 변경 (과거→현재),하,의미 손상은 아니고 시제만 다름
19,전문용어,전문 용어가 왜곡되지 않는지 확인,역전파(backpropagation)를 통해 가중치를 업데이트한다.,Weights are updated through backpropagation.,없음,,정상 - 전문용어 보존
20,예시,예시 표현 속 가능성(헤징)이 유지되는지 확인,"예를 들어, 학습률이 너무 크면 발산할 수 있다.","For instance, an excessively large learning rate causes divergence.",헤징 손실 (수 있다→causes),중,가능성→확정적 인과관계로 변경
21,숫자/수치,숫자가 왜곡되지 않는지 확인,정확도가 92%에서 87%로 떨어졌다.,The accuracy dropped from 92% to 87%.,없음,,정상 - 숫자 정확히 보존
22,숫자/수치,숫자가 왜곡되지 않는지 확인,샘플은 총 500개였다.,The total number of samples was 500.,없음,,정상
23,비교,비교 방향(A>B 등)이 뒤집히지 않는지 확인,모델 A가 모델 B보다 성능이 좋다.,Model A demonstrates superior performance compared to Model B because optimization dictates that evaluation metrics invariably favor architectures with enhanced generalization capabilities.,Unsupported Addition (전체 사례 중 가장 심각 - 의미 불명확한 전문용어까지 지어냄),상,비교 방향은 맞으나 근거 전체가 조작됨. 최우선 검증 대상
24,비교,비교 방향(A>B 등)이 뒤집히지 않는지 확인,이 방법이 기존 방법보다 느리다.,This method is slower than the conventional approach.,없음,,"정상 - 비교 방향 보존, Addition 없음"
25,인과관계,원인/결과 방향이 유지되는지 확인,과적합 때문에 검증 성능이 떨어졌다.,Validation performance dropped because overfitting occurred.,없음,,정상 - 인과 방향 보존
26,인과관계,원인/결과 방향이 유지되는지 확인,데이터가 늘어나면서 정확도가 향상되었다.,"As the amount of data increased, the accuracy improved accordingly.",없음,,정상
27,조건문,조건 범위가 '항상'으로 과확장되지 않는지 확인,데이터가 충분할 때만 이 방법이 효과적이다.,This method is effective only when sufficient data is available.,없음,,정상 - 'only when' 제한 보존
28,조건문,조건 범위가 '항상'으로 과확장되지 않는지 확인,조건이 맞으면 성능이 개선된다.,Performance improves when the conditions are met.,없음,,정상
29,개체명,고유명사가 바뀌지 않는지 확인 (스타일 변환과 무관해야 정상),이 논문은 스탠퍼드 대학에서 발표됐다.,This paper was published at Stanford University.,없음,,정상 - 개체명 보존
30,개체명,고유명사가 바뀌지 않는지 확인 (스타일 변환과 무관해야 정상),실험은 파이토치로 구현했다.,The experiments are implemented with PyTorch.,시제 변경 (과거→현재),하,"개체명은 보존됨, 시제만 다름"
31,전문개념,상관관계가 인과관계로 둔갑하지 않는지 확인,두 변수 사이에 상관관계가 있다.,There is a correlation between the two variables.,없음,,정상 - 상관관계 그대로 유지 (인과로 안 바뀜)
32,전문개념,상관관계가 인과관계로 둔갑하지 않는지 확인,"이 지표는 참고용일 뿐, 인과관계를 의미하지 않는다.",This metric serves merely as a reference and does not imply any causal relationship.,없음,,정상 - 인과관계 부정 표현 보존
